"List of U.S. states and territories by GDP in 2005-2009,,,,,,,,,,"
"State,2009,2009 GSP,2008,2008 GSP,2007,2007 GSP,2006,2006 GSP,2005,2005 GSP"
",Rank,($Millions),Rank,($Millions),Rank,($Millions),Rank,($Millions),Rank,($Millions)"
"?United States,,14119000,,14369100,,14061800,,13398900,,12638400"
"?California,1,1891363,1,1846757,1,1801762,1,1727599,1,1628599"
"?Texas,2,1244695,2,1223511,2,1148531,2,1070305,2,982058"
"?New York,3,1093219,3,1144481,3,1105020,3,1034087,3,956378"
"?Florida,4,737038,4,744120,4,741861,4,721380,4,670030"
"?Illinois,5,630398,5,633697,5,617409,5,588863,5,552956"
"?Pennsylvania,6,554774,6,553301,6,533212,6,509006,6,481957"
"?North Carolina,7,496092,9,400192,10,390467,9,378593,12,348397"
"?New Jersey,8,482967,7,474936,8,461295,8,445738,8,425455"
"?Ohio,9,471264,8,471508,7,462506,7,449000,7,438848"
"?Georgia,10,469809,10,397756,9,391241,10,375641,10,359521"
"?Virginia,11,408443,11,397025,11,384132,12,368014,11,350897"
"?Michigan,12,368401,12,382544,12,379934,11,375143,9,372009"
"?Massachusetts,13,365182,13,364988,13,352178,13,334477,13,317417"
"?Washington,14,338334,14,322778,14,310279,14,289070,14,272734"
"?Minnesota,15,323912,16,262847,16,252472,16,240891,17,232802"
"?Maryland,16,286797,15,273333,15,264426,15,252997,15,241461"
"?Indiana,17,262647,17,254861,17,249229,17,239863,16,232861"
"?Arizona,18,256364,19,248888,18,245952,18,236421,19,215207"
"?Colorado,19,252657,20,248603,20,235848,20,225053,22,212582"
"?Tennessee,20,244508,18,252127,19,245162,19,236103,18,223784"
"?Wisconsin,21,244370,21,240429,21,233406,21,224918,20,214821"
"?Missouri,22,239752,22,237797,22,229027,22,219660,21,213170"
"?Connecticut,23,227405,24,216174,23,212252,23,201635,23,190499"
"?Louisiana,24,208377,23,222218,24,207407,24,197569,24,183022"
"?Alabama,25,169856,25,170014,25,164524,25,158858,25,150582"
"?Oregon,26,165648,26,161573,26,158268,26,151205,28,138002"
"?South Carolina,27,159647,28,156384,28,151703,27,146480,26,138614"
"?Kentucky,28,156553,27,156436,27,152099,28,146352,27,138592"
"?Oklahoma,29,153778,29,146448,29,136374,29,129596,29,120621"
"?Iowa,30,142282,30,135702,30,129911,31,121082,30,115770"
"?Nevada,31,126503,31,131233,31,129314,30,121712,31,112416"
"?Kansas,32,124921,32,122731,32,116986,32,109902,32,102888"
"?Utah,33,112941,33,109777,33,105574,33,98289,33,89125"
"?Arkansas,34,101818,34,98331,34,95116,34,90660,34,86546"
"?Mississippi,35,95905,35,91782,35,87652,35,83778,35,79521"
"?Nebraska,36,86439,36,83273,36,80360,36,74951,36,70959"
"?New Mexico,37,74801,37,79901,37,75192,37,71782,37,68003"
"?Hawaii,38,66431,38,63847,38,62019,39,59131,39,54863"
"?West Virginia,39,63344,40,61652,40,57877,41,55799,41,52932"
"?Delaware,40,60588,39,61828,39,61545,38,59244,38,57641"
"?New Hampshire,41,59400,41,60005,41,57820,40,56056,40,53526"
"?Idaho,42,54005,42,52747,42,52110,42,48557,42,46584"
"?Maine,43,51293,43,49709,43,48021,43,46341,43,44451"
"?Rhode Island,44,47837,45,47364,44,46699,44,45491,44,43148"
"?Alaska,45,45709,44,47912,45,44887,45,43264,45,39362"
"?South Dakota,46,38308,46,36959,46,35211,47,31171,46,30712"
"?Wyoming,47,37544,48,35310,48,31544,48,30138,48,26438"
"?Montana,48,35954,47,35891,47,34266,46,31794,47,29789"
"?North Dakota,49,31872,49,31208,49,28518,49,25394,49,24283"
"?Vermont,50,25438,50,25442,50,24627,50,23672,50,22755"